filename,label,source,age_group
id33_id29_0005.jpg,fake,celeb,36-50
055_147.jpg,fake,faceforensics,19-35
875_979.jpg,fake,faceforensics,19-35
949_868.jpg,fake,faceforensics,36-50
629.jpg,real,faceforensics,36-50
id31_id1_0000.jpg,fake,celeb,19-35
id5_id59_0007.jpg,fake,celeb,19-35
id42_id39_0003.jpg,fake,celeb,36-50
051.jpg,real,faceforensics,36-50
168.jpg,real,faceforensics,19-35
id29_0009.jpg,real,celeb,19-35
600_505.jpg,fake,faceforensics,19-35
927_912.jpg,fake,faceforensics,19-35
876_891.jpg,fake,faceforensics,36-50
id32_0002.jpg,real,celeb,36-50
312_021.jpg,fake,faceforensics,19-35
123_119.jpg,fake,faceforensics,19-35
295_099.jpg,fake,faceforensics,19-35
956.jpg,real,faceforensics,36-50
042.jpg,real,faceforensics,19-35
859_843.jpg,fake,faceforensics,36-50
824.jpg,real,faceforensics,19-35
id11_0008.jpg,real,celeb,36-50
id39_id44_0009.jpg,fake,celeb,19-35
id9_0007.jpg,real,celeb,19-35
id33_id29_0000.jpg,fake,celeb,19-35
566.jpg,real,faceforensics,19-35
id47_id39_0004.jpg,fake,celeb,19-35
id35_id16_0000.jpg,fake,celeb,36-50
id7_id11_0006.jpg,fake,celeb,36-50
697_581.jpg,fake,faceforensics,19-35
986.jpg,real,faceforensics,19-35
890.jpg,real,faceforensics,19-35
197.jpg,real,faceforensics,19-35
343_363.jpg,fake,faceforensics,19-35
044_945.jpg,fake,faceforensics,19-35
117_217.jpg,fake,faceforensics,19-35
id47_id39_0001.jpg,fake,celeb,19-35
478.jpg,real,faceforensics,19-35
id20_id1_0000.jpg,fake,celeb,19-35
033.jpg,real,faceforensics,36-50
352_319.jpg,fake,faceforensics,36-50
id16_0009.jpg,real,celeb,19-35
951.jpg,real,faceforensics,19-35
707_705.jpg,fake,faceforensics,19-35
949.jpg,real,faceforensics,36-50
667.jpg,real,faceforensics,19-35
081_087.jpg,fake,faceforensics,19-35
095.jpg,real,faceforensics,19-35
323.jpg,real,faceforensics,36-50
id13_id7_0004.jpg,fake,celeb,19-35
id29_id34_0008.jpg,fake,celeb,19-35
id24_id22_0008.jpg,fake,celeb,19-35
046_904.jpg,fake,faceforensics,19-35
239_218.jpg,fake,faceforensics,36-50
237_236.jpg,fake,faceforensics,19-35
531_549.jpg,fake,faceforensics,19-35
968_884.jpg,fake,faceforensics,36-50
960_999.jpg,fake,faceforensics,19-35
id57_id56_0006.jpg,fake,celeb,19-35
id42_0001.jpg,real,celeb,19-35
857_909.jpg,fake,faceforensics,36-50
164_216.jpg,fake,faceforensics,19-35
id47_0005.jpg,real,celeb,36-50
id6_id0_0000.jpg,fake,celeb,19-35
id33_0000.jpg,real,celeb,19-35
id13_id7_0003.jpg,fake,celeb,36-50
045.jpg,real,faceforensics,19-35
162_330.jpg,fake,faceforensics,19-35
id61_id59_0002.jpg,fake,celeb,19-35
725_724.jpg,fake,faceforensics,19-35
067_025.jpg,fake,faceforensics,19-35
id30_id16_0004.jpg,fake,celeb,19-35
142.jpg,real,faceforensics,36-50
403.jpg,real,faceforensics,36-50
id34_id30_0008.jpg,fake,celeb,36-50
820.jpg,real,faceforensics,19-35
id61_id59_0005.jpg,fake,celeb,19-35
854_747.jpg,fake,faceforensics,36-50
id29_0004.jpg,real,celeb,36-50
893.jpg,real,faceforensics,19-35
199_181.jpg,fake,faceforensics,19-35
453.jpg,real,faceforensics,19-35
